Date : 2024-09-08 20:30:45
Directory : e:\codes\idea_workspace\demo
Total : 62 files,  1832 codes, 489 comments, 442 blanks, all 2763 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Java               |         49 |      1,446 |        416 |        394 |      2,256 |
| XML                |          5 |        228 |         54 |         18 |        300 |
| Markdown           |          4 |        121 |          0 |         26 |        147 |
| YAML               |          1 |         16 |         19 |          4 |         39 |
| JSON with Comments |          1 |         14 |          0 |          0 |         14 |
| HTML               |          1 |          6 |          0 |          0 |          6 |
| JSON               |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         62 |      1,832 |        489 |        442 |      2,763 |
| . (Files)                                                                                                             |          1 |        175 |         22 |         14 |        211 |
| src                                                                                                                   |         61 |      1,657 |        467 |        428 |      2,552 |
| src\.VSCodeCounter                                                                                                    |          5 |        122 |          0 |         26 |        148 |
| src\.VSCodeCounter\2024-09-05_08-47-38                                                                                |          5 |        122 |          0 |         26 |        148 |
| src\main                                                                                                              |         55 |      1,469 |        443 |        390 |      2,302 |
| src\main\java                                                                                                         |         48 |      1,380 |        392 |        382 |      2,154 |
| src\main\java\cn                                                                                                      |         48 |      1,380 |        392 |        382 |      2,154 |
| src\main\java\cn\edu                                                                                                  |         48 |      1,380 |        392 |        382 |      2,154 |
| src\main\java\cn\edu\seu                                                                                              |         48 |      1,380 |        392 |        382 |      2,154 |
| src\main\java\cn\edu\seu\demo                                                                                         |         48 |      1,380 |        392 |        382 |      2,154 |
| src\main\java\cn\edu\seu\demo (Files)                                                                                 |          1 |         14 |          0 |          5 |         19 |
| src\main\java\cn\edu\seu\demo\config                                                                                  |          1 |         25 |          4 |          3 |         32 |
| src\main\java\cn\edu\seu\demo\controller                                                                              |          6 |        341 |        121 |         70 |        532 |
| src\main\java\cn\edu\seu\demo\controller\AdminController                                                              |          3 |        136 |         41 |         33 |        210 |
| src\main\java\cn\edu\seu\demo\controller\UserController                                                               |          3 |        205 |         80 |         37 |        322 |
| src\main\java\cn\edu\seu\demo\exception                                                                               |          2 |         18 |          3 |          6 |         27 |
| src\main\java\cn\edu\seu\demo\intercepter                                                                             |          1 |         41 |          8 |          5 |         54 |
| src\main\java\cn\edu\seu\demo\mapper                                                                                  |          7 |        122 |         53 |         58 |        233 |
| src\main\java\cn\edu\seu\demo\mapper (Files)                                                                          |          1 |         12 |          0 |          5 |         17 |
| src\main\java\cn\edu\seu\demo\mapper\AdminMapper                                                                      |          3 |         54 |          0 |         22 |         76 |
| src\main\java\cn\edu\seu\demo\mapper\UserMapper                                                                       |          3 |         56 |         53 |         31 |        140 |
| src\main\java\cn\edu\seu\demo\pojo                                                                                    |         11 |        167 |          6 |         43 |        216 |
| src\main\java\cn\edu\seu\demo\service                                                                                 |         12 |        381 |         90 |        109 |        580 |
| src\main\java\cn\edu\seu\demo\service\AdminService                                                                    |          6 |        157 |         10 |         42 |        209 |
| src\main\java\cn\edu\seu\demo\service\AdminService (Files)                                                            |          3 |         28 |          0 |         20 |         48 |
| src\main\java\cn\edu\seu\demo\service\AdminService\Impl                                                               |          3 |        129 |         10 |         22 |        161 |
| src\main\java\cn\edu\seu\demo\service\UserService                                                                     |          6 |        224 |         80 |         67 |        371 |
| src\main\java\cn\edu\seu\demo\service\UserService (Files)                                                             |          3 |         32 |          2 |         25 |         59 |
